Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions,ExampleSentence,JmDictWordId,SameSurfaceSupportedAs,SameReadingSupportedAs
考える,かんがえる,36,100,"4,3","to think (about, of),to think over,to ponder,to contemplate,to reflect (on),to meditate (on),to consider,to bear in mind,to allow for,to take into consideration,to think (that),to believe,to hold (a view),to judge,to conclude,to suspect,to intend (to do),to think of (doing),to plan,to predict,to anticipate,to expect,to imagine,to come up with,to think up,to contrive,to devise,to consider (as),to regard (as),to look on (as),to take,to view",少しの間手持ち**考える**時間ちょうだい！,1281020,,
父ちゃん,とうちゃん,35,9984,1,"dad,daddy,papa,pa,pop",なんかかわいそうだなボタちゃんの**父ちゃん**やーめーろー！,2519060,,
声,こえ,34,188,1,"voice,singing (of a bird),chirping (of an insect),hoot,voice,opinion (as expressed in words),view,wish,attitude,will,sound,sense (of something's arrival),feeling,voice,voiced sound",**声**はデカイしスキンシップヤバいしボタちゃんとか変な呼び方するし！,1380440,,
昔,むかし,34,292,0,"the old days,the past,former times,a long time ago,the past ten years,the past decade",**昔**母ちゃんに会おうとしてパルデアの大穴に来たとき…。,1382370,,
母ちゃん,かあちゃん,34,6170,1,"mum,mom,mummy,mommy,wifey,dear,missus",昔**母ちゃん**に会おうとしてパルデアの大穴に来たとき…。,2399270,,
１匹,いっぴき,33,8768,4,"one (small animal),two-tan bolt of cloth",ポケモンの性格人間と同じでポケモンにも**１匹**１匹に性格があります。,1166060,,
悪い,わるい,32,122,2,"bad,poor,undesirable,poor (quality),inferior,insufficient,evil,sinful,ugly,not beautiful,at fault,to blame,in the wrong,bad (at doing something),unprofitable,unbeneficial,sorry,(my) bad,unforgivable",あの子最近入ったんだけどかなり態度**悪い**んだよね…。,1151260,,
美術,びじゅつ,32,12834,1,"art,fine arts",**美術**担当のハッサクですよろしくお願いしますですよ……そもそも美術とは！,1486440,,
休む,やすむ,31,602,2,"to be absent,to take a day off,to rest,to have a break,to go to bed,to (lie down to) sleep,to turn in,to retire,to stop doing some ongoing activity for a time,to suspend business",だったらなおさら戻って少しでも**休む**の！,1227560,,
見せる,みせる,31,219,2,"to show,to display,to make (something or someone) look ...,to present an appearance of ...,to make (something) worth watching,to be entertaining,to have (something) looked at (by a specialist),to have (an antique, etc.) appraised,to have (an injury, person, etc.) looked at (by a doctor),to take (someone) to a doctor,to make a show of (doing),to do in a conspicuous manner,to do in view of others,to resolve to do,to do at any cost,to show others that one will ...",もう背中は**見せない**…。,1259210,,
秘伝,ひでん,31,18947,0,"secret (recipe, medicine, etc.),mysteries (e.g. of an art)",**秘伝**スパイスのときのアイツももともとはエリアゼロにいたのかもないいなー！,1484100,,
学,がく,30,6905,"0,1","learning,scholarship,study,erudition,knowledge,education,study of ...,-ology,-ics",バトル**学**教師として負けるわけにはいかない悪いが本気を出させてもらうよ！,1955900,,
大きな,おおきな,29,425,1,"big,large,great",……勝手に入るのはやめておこう**大きな**花瓶に大きな植物！,1412890,,
部屋,へや,29,276,2,"room,chamber,apartment,flat,pad,stable",自分の**部屋**より教室で勉強するほうがはかどるね夜だとゴーストタイプのポケモン多くない？,1499320,,
殿,どの,27,5067,0,"Mr.,Mrs.,Miss,Ms.",どうしてもあんたに会って直接話がしたいそうだシュウメイ**殿**聞いて！,1442500,,
約,やく,27,2709,1,"approximately,about,promise,appointment,engagement,shortening,reduction,simplification,contraction (in phonetics)",・**約**１０００年前・約２０００年前・約３０００年前４この学校は創立何年？,1538100,,
者,もの,26,310,2,person,・力・勇気・知恵５を欲する**者**はグレープを食べよ！,1322990,,
素晴らしい,すばらしい,26,2266,4,"wonderful,splendid,magnificent",ポケモンが嫉妬するほどの**素晴らしい**造形だ…。,1397300,,
入れる,いれる,26,228,0,"to put in,to let in,to take in,to bring in,to insert,to install (e.g. software),to set (a jewel, etc.),to ink in (e.g. tattoo),to admit,to accept,to employ,to hire,to accept,to comply,to grant,to adopt (a policy, etc.),to take (advice, etc.),to listen to,to pay attention to,to include,to pay (one's rent, etc.),to cast (a vote),to make (tea, coffee, etc.),to turn on (a switch, etc.),to send (a fax),to call",一般人が**入れない**パルデアの大穴にはどんなポケモンがいるんじゃろう？,1465610,,
本日,ほんじつ,26,1136,1,"today,this day",**本日**はどのようにしてお越しくださったんですか？,1523110,,
学生,がくせい,25,1924,0,student (esp. a university student),アオキさんも**学生**さんもどっちもがんばれー！,1206900,,
上,うえ,25,220,0,"above,over,up,top,summit,upper part,head (e.g. of a staircase),surface,on (top of),the above (in a piece of writing),earlier part,superior,better,higher (position, rank, etc.),upper (class),elder,older,senior,with respect to ...,in terms of,as far as ... is concerned,when (e.g. drunk),besides ...,in addition to ...,on top of ...,as well as ...,after ...,upon ...,on ...,with (e.g. full awareness),as a result of ...,since ...,now that ...,because ...,honorable,venerable,dear,emperor,sovereign,shogun,daimyo",……なんかビビってボールに戻ったえー心配だねもしかしてあの子いないと**上**に戻れん？,1352130,,
戦い,たたかい,24,1349,0,"battle,war,fight,conflict,fight (against time, poverty, etc.),struggle (for freedom, survival, etc.),war (e.g. on drugs),battle (e.g. against nature),contest,competition,match,game",チャンピオンネモ相手にここまでの**戦い**ぶり…。,1596950,,
疲れる,つかれる,24,691,3,"to get tired,to tire,to get fatigued,to become exhausted,to grow weary,to become worn out (of a well-used object),to starve",さんもさんも**疲れて**おいでですよあすみません興奮しちゃってついつい…。,1483740,,
報告,ほうこく,24,846,0,"report,information",キミが敵だと確信したのでわたしは**報告してきまーす**！,1515670,,
名,な,24,826,0,"name,given name,title,fame,renown,reputation,pretext,pretense,justification,appearance",自分謙虚やなぁ彼女の**名**はチリまいど！,1531330,,
皆さん,みなさん,23,600,2,"all,everyone,everybody",**皆さん**お疲れさまでしたどの試合もトレーナーとポケモンの絆が光る目の離せない勝負ばかり…。,1202170,,
学ぶ,まなぶ,23,1789,"0,2","to learn,to study,to take lessons in",学校の外で冒険しながら自由に**学べて**楽しいんだよ！,1206530,,
気になる,きになる,23,437,,"to weigh on one's mind,to bother one,to worry about,to be concerned about,to care about,to feel uneasy,to be anxious,to be interested (in),to be curious (about),to wonder (about),to catch one's eye,to feel like (doing),to feel inclined to,to bring oneself to (do)",アジトを見張ってたんだが急に騒がしくなったんでなこっちで何かあったのかと**気になって来た**んだが…。,1221690,,
貴方,あなた,23,5732,"2,1","you,dear,honey",この程度であせる**貴方**ではないでしょうに？,1223615,,
貴様,きさま,23,1627,0,"you,you bastard,you son of a bitch,you",最後はサービス問題だ**貴様**たちの点稼ぎポイントさぞかし楽勝だったろう？,1223620,,
災い,わざわい,23,8458,0,"disaster,calamity,misfortune,trouble,woes",ククッある意味宝探しだな**災い**の宝ではあるが気が向いたら調査してくれレホール先生から信頼を感じる！,1295080,,
小生,しょうせい,23,39809,1,"I,me,my humble self",**小生**は猛烈に感動じでいま゛ず！,1348390,,
正しい,ただしい,23,957,3,"right,correct,proper,righteous,just,honest,truthful,lawful",さすが**正しい**判断ですそのまま続けてくださいどうしました？,1376600,,
噂,うわさ,22,1498,0,"rumour,rumor,report,hearsay,gossip,common talk",宇宙人の科学兵器ではないかという**噂**もあるが真相は不明。,1172590,,
言語学,げんごがく,22,72453,3,linguistics,・ほめること・怒ること・甘やかすことほめること怒ること甘やかすこと５みんな大好き**言語学**！,1264430,,
氏,し,22,3799,1,"Mr,Mrs,Ms,Miss,clan,he,him,counter for people",**氏**さぁもうちょっとボクを立ててもいいんじゃない？,2101130,,
上がる,あがる,21,482,0,"to rise,to go up,to come up,to ascend,to be raised,to enter (esp. from outdoors),to come in,to go in,to enter (a school),to advance to the next grade,to get out (of water),to come ashore,to be washed ashore,to float atop the water,to surface from the sea (e.g. of a corpse),to rise to the surface,to increase,to be raised (e.g. of a salary),to rise,to improve,to make progress,to be promoted,to advance,to be made (of profit, etc.),to occur (esp. of a favourable result),to be adequate (to cover expenses, etc.),to be finished,to be done,to be over,to stop (of rain),to clear up (of weather),to stop (working properly),to cut out,to give out,to die,to win (in a card game, etc.),to be spoken loudly,to be raised loudly (of a voice),to get nervous,to get stage fright,to be offered (to the gods, etc.),to go,to visit,to eat,to drink,to serve (in one's master's home),to enter a red light district,to amuse oneself in a red light district,to visit a brothel,to arise vigorously (e.g. of voices in excitement),to become excited,to be in uproar (e.g. of a crowd),to be complete,to finish,adds the connotation of an action happening strongly or violently,above,north of",観客のボルテージが**上がる**ほどライトアップするシステムだ！,1352290,,
食う,くう,21,556,1,"to eat,to live,to make a living,to survive,to bite,to sting (as insects do),to tease,to torment,to taunt,to make light of,to make fun of,to encroach on,to eat into,to consume,to defeat a superior,to threaten a position,to consume time,to consume resources,to receive something (usu. an unfavourable event),to have sexual relations with a woman, esp. for the first time",ちょっとわからないわ宝食堂にはあっと驚くしかけがあるらしいぞいオラこんなうめえ料理**食った**のは初めてだ！,1592100,,
信じる,しんじる,21,295,"3,0","to believe,to believe in,to place trust in,to confide in,to have faith in",まったく関知できていなかった自分が恥ずかしいですフッスター団のみが至宝と**信じてきた**が…。,1359040,,
人間,にんげん,21,184,0,"human being,human,person,man,mankind,humankind,character (of a person)",ポケモンの性格**人間**と同じでポケモンにも１匹１匹に性格があります。,1366770,,
変,へん,21,324,1,"strange,odd,peculiar,weird,curious,eccentric,funny,suspicious,fishy,unexpected,change,incident,disturbance,disaster,accident,emergency,flat",声はデカイしスキンシップヤバいしボタちゃんとか**変な**呼び方するし！,1510640,,
解散,かいさん,20,3393,0,"breaking up (a meeting, gathering, etc.),dispersal (e.g. of a crowd),dissolution (of a company, organization, etc.),winding-up,disbandment,split-up,dissolution (of the Diet, Parliament, etc.)",,1199000,,
回,かい,20,1357,1,"counter for occurrences,a time,an instance,inning (baseball),round,game,episode,chapter,instalment,Hui (people),Islam",今エントリーしてる人数的に多分４**回**くらい勝てば優勝かな！,1199330,,
楽しみ,たのしみ,20,909,"3,4,0","enjoyment,pleasure,amusement,delight,joy,fun,diversion,hobby,anticipation,looking forward to,something to look forward to",わたしが一番**楽しみ**なんだよ舞台は整った！,1207250,,
機械,きかい,20,2673,2,"machine,mechanism,instrument,appliance,apparatus",あれはポケモンってよりもっと鉄っぽい**機械みてえ**な…。,1220810,,
形,かたち,20,692,2,"(physical) form,shape,figure,visage,(facial) features,appearance (of a person),figure,looks,form (as opposed to substance),manner (of action),style,(outward) appearance,(resultant) state,situation,condition,form,behaviour (towards others),attitude,demeanor,manners,shape (positional qualities of a group of stones)",太陽のような花の**形**をしていていつも微笑んでいる姿が特徴的。,1250220,,
始まる,はじまる,20,446,0,"to begin,to start,to commence,to happen (again),to begin (anew),to date (from),to originate (in)",けっこー話題の人だよあそうだ宝探しってやつ**始まった**んでしょー？,1307500,,
止める,とめる,20,392,3,"to stop,to turn off,to park,to prevent,to suppress (a cough),to hold back (tears),to hold (one's breath),to relieve (pain),to stop (someone from doing something),to dissuade,to forbid,to prohibit,to notice,to be aware of,to concentrate on,to pay attention to,to remember,to bear in mind,to fix (in place),to fasten,to tack,to pin,to nail,to button,to staple,to detain,to keep in custody",,1310670,,
雪山,ゆきやま,20,23784,0,"snowy mountain,permanently snow-covered mountain,pile of snow",くわしいルールは当ジムを出て左手の坂をのぼった先**雪山**すべり開始地点で説明しますねようこそナッペ山ジムへ！,1842240,,
店,みせ,20,644,0,"store,shop,establishment,restaurant",この**店**でいろいろ見れるわよ果物にお野菜にライスまでそろってる！？,1582120,,
倍,ばい,20,2196,"0,1","double,twice (as much),times (as much),-fold,1-nth,1 to n,1 in n",１５０だとタイプ一致の１．５**倍**しかかけ算されてないみたいんー惜しい！,1473230,,
本当に,ほんとうに,20,248,"5,0","really,truly",よかった**本当に**心配した…。！,1611580,,
優しい,やさしい,20,464,"0,3","tender,kind,gentle,graceful,affectionate,amiable",いつもおおらかで**優しい**けどジムリーダーのときはかっこいいの！,1539040,,
２倍,にばい,19,12882,0,"double,twice (as much),twofold",２００だと弱点の**２倍**しかかけ算されてないみたい頭の中で計算さすがね！,1462920,,
家,いえ,19,195,2,"house,residence,dwelling,home,family,household,lineage,family name",……ひとの**家**の冷蔵庫を勝手に開けるのはやめておこう！,1191730,,
教師,きょうし,19,2698,1,"teacher,instructor",バトル学**教師**として負けるわけにはいかない悪いが本気を出させてもらうよ！,1237130,,
広場,ひろば,19,5805,1,"public square,square,plaza,piazza,forum,open space,clearing",そういうわけでテーブルシティ中央**広場**！,1278590,,
手,て,19,160,1,"hand,arm,forepaw,foreleg,handle,hand,worker,help,trouble,care,effort,means,way,trick,move,technique,workmanship,hand,handwriting,kind,type,sort,one's hands,one's possession,ability to cope,hand (of cards),direction,move (in go, shogi, etc.)",お前さんにゃ恩義はあるがどっこい**手**は抜かんからな！,1327190,,
体,からだ,19,317,1,"body,torso,trunk,build,physique,frame,figure,health,constitution",もポケモンも**体**温まって準備万端だ！,1409140,,
掟,おきて,19,11316,0,"law,regulation,rule,code,agreement,arrangement,compact,legislation",まずスター大作戦のことあとは団の**掟**だね最近仲間増えてるじゃん？,1567460,,
４つ,よっつ,18,6217,"3,0","four,4,four years of age,ten o'clock (in the old time system),burakumin,cross grips",・２つ・３つ・**４つ**４パルデア十景で１００万ボルトの夜景と呼ばれている町の名前は？,1307040,,
ＡＩ,エーアイ,18,16022,3,"artificial intelligence,AI",,2222190,,
お金,おかね,18,687,0,money,世の中なんでも**お金**でことが運ぶわけではないんだ！,1001820,,
この前,このまえ,18,1117,3,"the other day,previously,before,earlier,recently,last time,last (Sunday, summer, etc.),previous (e.g. mayor, chapter),preceding",…………本当は戦りたいけどのポケモン**この前**より強くなってる…。！,2216900,,
押忍,おっす,18,35398,1,"hi!,yo!,hey man!,hey dude!,yessir!,understood!",１００点目指して**押忍**押忍だ！,1180540,,
楽しむ,たのしむ,18,631,3,"to enjoy,to take pleasure in,to have a good time,to have fun,to amuse oneself,to look forward to",ハッコウシティ**楽しんでる**？,1207270,,
競り,せり,18,53237,2,"competing,competition,auction",カラフシティに戻るのはさすがにそらとぶタクシー使っちゃおうかな**競り**で大金はたいちまった潮風が目にしみるぜ！,2599900,,
芸術,げいじゅつ,18,6777,"0,1","art,the arts",『**芸術**のより道』という雑誌がある読んでみようか？,1253060,,
見える,みえる,18,144,2,"to be seen,to be visible,to be in sight,to look,to seem,to appear,to come",カーテンの隙間からビーチが**見える**！,1259140,,
今まで,いままで,18,383,3,"until now,till now,up to now,up to the present,so far",**今まで**英雄だと思われていた存在に一石を投じる事実が判明したのです！,1587590,,
寝る,ねる,18,323,0,"to sleep (lying down),to go to bed,to lie in bed,to lie down,to sleep (with someone, i.e. have intercourse),to lie flat (e.g. of hair),to lie idle (of funds, stock, etc.),to ferment (of soy sauce, miso, etc.)",昨日オールでゲームしてたしアジトのヤツら絶対**寝てる**…。,1360010,,
顔,かお,17,119,0,"face,visage,looks,(facial) features,look,(facial) expression,countenance,honor (honour),face,dignity,influence,notoriety,trust,pull,clout,representative,(the) face (of something),trademark,example,members,attendees,lineup,participants,everyone involved,makeup,cosmetics",カラフジムのジムテストはとてもむずかしいのよハイダイさんはこの町の**顔**ね！,1217730,,
景,けい,17,26633,1,"vista,view,scene,scenic view,counter for scenes (in a play)",・２つ・３つ・４つ４パルデア十**景**で１００万ボルトの夜景と呼ばれている町の名前は？,2664230,,
残り,のこり,17,1211,3,"remainder,remnant,the rest,what is left,balance,leftovers",なら絶対チャンピオンランクになる**残り**のジムも絶対ぜたい大丈夫だから！,1304480,,
次回,じかい,17,4030,"1,0",next time (occasion),ぜひ仲間と息を合わせてテラスタルシールドを打ち破ってくれ**次回**は中間テストをおこなうぞ！,1316470,,
十,じゅう,17,2497,"1,0","ten,10,ten years of age,book containing a collection of poems",・２つ・３つ・４つ４パルデア**十**景で１００万ボルトの夜景と呼ばれている町の名前は？,1579840,,
誰か,だれか,17,224,1,"someone,somebody",あーあまた**誰か**来ちゃったよスター団の新人ってこんなにめんどいんだ…。,1416840,,
伝える,つたえる,17,395,"0,3","to convey,to report,to transmit,to communicate,to tell,to impart,to propagate,to teach,to bequeath",今までわたしがお**伝え**した情報でさんは冒険に必要な知識をすべてご存知になっています！,1441870,,
動く,うごく,17,263,2,"to move,to stir,to shift,to shake,to swing,to operate,to run,to go,to work,to make a move,to take action,to act,to go into action,to be touched,to be influenced,to change,to vary,to fluctuate,to waver,to be transferred",あの車モドキ全然**動かなかった**なスターモービルね！,1451210,,
美しい,うつくしい,17,941,4,"beautiful,pretty,lovely,sweet,pure (heart, friendship, etc.)",,1486360,,
物体,ぶったい,17,5969,0,"object,body,solid",奇書バイオレットブックに書かれた謎の**物体**が名前の由来である。,1502680,,
夜,よる,17,376,1,"night,evening,dinner",自分の部屋より教室で勉強するほうがはかどるね**夜**だとゴーストタイプのポケモン多くない？,1536350,,
お店,おみせ,16,1245,0,"store,shop,establishment,restaurant",先代から引き継いだ**お店**を切り盛りするのは店長のカエデさん！,2842661,,
雑誌,ざっし,16,3109,0,"magazine,journal,periodical",『月刊オーカルチャー』という**雑誌**の１０月号がある読んでみようか？,1299400,,
先ほど,さきほど,16,1380,0,"a short while ago,a moment ago,just now,some time ago",いえきっと彼女は確信しているのでしょうね**先ほど**のジムまでお送りいたしますねどおもどおも！,1388170,,
欲しい,ほしい,16,352,2,"wanting (to have),desiring,wishing for,I want (you, them, etc.) to (do)",,1547330,,
落ちる,おちる,16,419,2,"to fall,to drop,to come down,to crash,to collapse,to cave in,to give way,to set (of the sun or moon),to sink,to dip,to go down,to decrease (of popularity, quality, speed, sales, etc.),to fall,to drop,to go down,to decline,to deteriorate,to abate (of wind),to be inferior (to),to be not as good (as),to fall short (of),to come off (of dirt, paint, makeup, etc.),to come out (of a stain),to fade (of colour),to be removed (of an illness, possessing spirit, etc.),to disappear (of excess fat),to become thinner,to become leaner,to be left out,to be omitted,to be missing,to fail (an exam),to lose (a contest, election, etc.),to be unsuccessful,to decline (of morals, character, etc.),to become vulgar (e.g. of a conversation),to stoop (to),to sink (so low),to be ruined,to go under,to fall (into hell),to fall (in love, asleep, etc.),to fall (into someone's hands),to be accepted (of a bid),to be won (of a tender),to be honoured (of a bill),to fall into (a trap),to fall for (a trick),to give in,to confess,to own up,to come to (a conclusion, topic, etc.),to arrive at (in the end),to leave (a city, castle, etc.),to (be defeated and) flee,to sink in,to be accepted (in one's heart),to fall (to the enemy),to be defeated,to come in (of money),to fall (upon; of light, a shadow, one's gaze, etc.),to pass out (in judo),to fall unconscious,to go down (of a website, server, etc.),to crash,to log out (of an online game, chat room, etc.),to drop out,to leave,to go offline,to move to deeper water (of a fish in cold weather),to die (of an animal)",水場学校の先生**落ちている**もの先ほどいったように水場があれど食材がないので料理はできぬ設定なのだ…。,1548550,,
会場,かいじょう,15,2843,0,"assembly hall,meeting place,venue,site,grounds",くわしいルールは**会場**にいるスタッフまでおたずねくださいねオリーブころがし会場は町の北のほうにありますよ！,1198660,,
高める,たかめる,15,4199,3,"to raise,to lift,to boost,to enhance",タイプの威力をもっと**高める**んだ！,1283240,,
作品,さくひん,15,1902,0,"work (e.g. book, film, painting, composition),piece,production,opus",個性あふれる生徒たちの**作品**がいっぱいかざられている！,1297910,,
子供,こども,15,498,0,"child,children",『オラチフ』と**子供**の字で書かれてる！,1307850,,
市場,しじょう,15,7980,1,"market (financial, stock, domestic, etc.),marketplace,exchange,(street) market",お次はマリナードタウンの**市場**で爆買いよ！,1308305,,
色,いろ,15,888,2,"colour,color,hue,tint,tinge,shade,complexion,skin colour,skin color,look (on one's face),expression,appearance,air,feeling,personality,character,tone (of one's voice, etc.),tune,sound,ring,love,lust,sensuality,love affair,lover,paramour,beauty,sexiness,physical appeal,kind,type,variety",フラベベはいろんな**色**がいるけどわたしは赤いフラベベが好き！,1357600,,
長い,ながい,15,389,2,"long (distance, length),long (time),protracted,prolonged",……ハッサクさんの説教**長い**んですよね四天王ハッサクに挑みますか？,1429750,,
渡す,わたす,15,486,0,"to ferry across (e.g. a river),to carry across,to traverse,to lay across,to build across,to hand over,to hand in,to pass,to give,to transfer",最後大騒ぎだったからクラベル先生**渡し**そびれちゃったって！,1444610,,
