Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Status,SupportStrength,MatchCount,MatchExamples,Definitions,ExampleSentence,JmDictWordId
作る,つくる,96,172,2,supported_exact,1,1,pokemon-scarlet-violet:term:作る(つくる) via entry/front exact,"to make,to produce,to manufacture,to build,to construct,to prepare (food),to brew (alcohol),to raise,to grow,to cultivate,to train,to till,to draw up (a document),to make out,to prepare,to write,to create (an artistic work, etc.),to compose,to coin (a phrase),to organize,to organise,to establish,to found,to have (a child),to make up (one's face, etc.),to fabricate (an excuse, etc.),to give a (false) appearance,to feign (a smile, etc.),to put on a show of emotion,to form (a line, etc.),to set (a record),to commit (a sin, etc.)",**作って**食わせてやるからな！,1597890
授業,じゅぎょう,90,1842,1,supported_exact,1,1,pokemon-scarlet-violet:term:授業(じゅぎょう) via entry/front exact,"lesson,class,teaching,instruction,classwork,schoolwork",なかなかどうして小賢しい**授業**をしっかり聞いているようだ……不正解！,1330290
知る,しる,87,67,0,supported_exact,1,1,pokemon-scarlet-violet:term:知る(しる) via entry/front exact,"to know,to be aware (of),to be conscious (of),to learn (of),to find out,to discover,to sense,to feel,to notice,to realize,to understand,to comprehend,to grasp,to appreciate,to remember,to be familiar with,to be acquainted with,to experience,to go through,to know (e.g. hardship),to get acquainted with (a person),to get to know,to have to do with,to be concerned with,to be one's concern,to be one's responsibility",ネット通販は苦手でね現物を見てから買いたいのよ**知ってる**か？,1420470
自分,じぶん,86,72,0,supported_exact,1,2,duel-masters-dm25:term:自分(じぶん) via entry/front exact | pokemon-scarlet-violet:term:自分(じぶん) via entry/front exact,"myself,yourself,oneself,himself,herself,I,me,you",ポケモンが**自分**のタイプと同じ技を使うとその威力は１．５倍になります。,1318610
生徒,せいと,82,1721,1,supported_exact,1,1,pokemon-scarlet-violet:term:生徒(せいと) via entry/front exact,"pupil,student,schoolchild",本校の**生徒**はみーんないい子で助かってますのよさすがパルデア最大の都市！,1379380
博士,はかせ,82,7925,1,supported_exact,1,1,pokemon-scarlet-violet:term:博士(はかせ) via entry/front exact,"expert,learned person,doctor,PhD,Dr.,instructor at the imperial court (ritsuryō period),pitch and length marks (to accompany a Buddhist liturgical chant, etc.)",この学校有名な**博士**の息子さんが在学中らしいねやっぱり頭いいのかな…。？,1474620
買う,かう,74,287,0,supported_exact,1,1,pokemon-scarlet-violet:term:買う(かう) via entry/front exact,"to buy,to purchase,to value (highly),to think highly of,to have a high opinion of,to appreciate,to recognize,to incur (someone's anger, displeasure, etc.),to elicit (e.g. sneers),to invite (e.g. scorn),to evoke,to arouse,to win (someone's favour),to accept,to take on,to take up,to pay for (a prostitute, geisha, etc.)",いやそれ超プレッシャーだしボクが反感**買ってた**理由は生徒会長してたから知ってるっしょ？,1473740
会う,あう,68,135,1,supported_exact,1,1,pokemon-scarlet-violet:term:会う(あう) via entry/front exact,"to meet,to encounter,to see,to have an accident,to have a bad experience",どく組ボスのシュウメイ殿に**会いたい**んだ！,1198180
力,ちから,68,289,3,supported_exact,1,1,pokemon-scarlet-violet:term:力(ちから) via entry/front exact,"force,strength,might,vigour,vigor,energy,capability,ability,proficiency,capacity,faculty,efficacy,effect,effort,endeavours,endeavors,exertions,power,authority,influence,good offices,agency,support,help,aid,assistance,stress,emphasis,means,resources",自分らしくのびのびと**力**を発揮してくださいねえわあ強いですねえ！,1554820
集める,あつめる,67,809,3,supported_exact,1,1,pokemon-scarlet-violet:term:集める(あつめる) via entry/front exact,"to collect,to assemble,to gather",ジムバッジを**集めて**ポケモンリーグに挑戦するんだね！？,1333560
相手,あいて,66,221,3,supported_exact,1,2,duel-masters-dm25:term:相手(あいて) via entry/front exact | pokemon-scarlet-violet:term:相手(あいて) via entry/front exact,"companion,partner,company,other party,addressee,counterparty,opponent (sports, etc.)",けどわたしチャンピオンだから**相手**を思いやって我慢するよ…。,1401000
元気,げんき,63,340,1,supported_exact,1,1,pokemon-scarlet-violet:term:元気(げんき) via entry/front exact,"lively,full of spirit,energetic,vigorous,vital,spirited,healthy,well,fit,in good health",それが本当ならかわいそうどうにかして**元気**になってもらいたい！,1260720
準備,じゅんび,63,497,1,supported_exact,1,1,pokemon-scarlet-violet:term:準備(じゅんび) via entry/front exact,"preparation,arrangements,getting ready,provision,setup,reserving",時ハ満ちタ夢ノ礎トナリタまエ僕ノ楽園ハ壊セなイ殲滅**準備**ヲ開始スル…。,1341670
楽しい,たのしい,62,305,3,supported_exact,1,1,pokemon-scarlet-violet:term:楽しい(たのしい) via entry/front exact,"enjoyable,fun,pleasant,happy,delightful",覚えさせた技とか育て方とかさそうです違いますふーんキミってアカデミー行ってて**楽しかったり**するの？,1207240
捕まえる,つかまえる,62,1333,0,supported_exact,1,1,pokemon-scarlet-violet:term:捕まえる(つかまえる) via entry/front exact,"to catch,to capture,to arrest,to seize,to restrain,to grab,to clutch,to grasp,to seize,to hold on to,to catch hold of (someone),to stop (e.g. a stranger in the street),to hail (a taxi, waiter, etc.),to hold (someone) back,to detain,towards (someone),at (someone),in (someone's) face",町まで買いにいくのはだるいしねポケモン**捕まえよう**としたらボールがなくて逃げられちゃった！,1597780
料理,りょうり,62,940,1,supported_exact,1,1,pokemon-scarlet-violet:term:料理(りょうり) via entry/front exact,"cooking,cookery,cuisine,food,dish,dealing with (skillfully),handling (well),managing",食堂の**料理**はここの畑で作られた食材で作ってるんだよお次は何を育てようかな？,1554310
負ける,まける,61,463,0,supported_exact,1,1,pokemon-scarlet-violet:term:負ける(まける) via entry/front exact,"to lose,to be defeated,to be beaten,to give in (to),to yield,to succumb,to give way,to surrender,to be overcome (with),to be inferior (to),to be second (to),to be outdone (by),to get a rash (from),to come out in a rash,to reduce the price,to give a discount,to throw in (something extra) for free",さもなくばアタシに**負けていき**なよ！,1497980
一緒に,いっしょに,60,125,,supported_exact,1,1,pokemon-scarlet-violet:term:一緒に(いっしょに) via entry/front exact,"together (with),at the same time,in one lump,in the same category",**一緒に**歩いて冒険するともとなかよしさんになれますあ！,1163420
教える,おしえる,60,199,0,supported_exact,1,1,pokemon-scarlet-violet:term:教える(おしえる) via entry/front exact,"to teach,to instruct,to tell,to inform,to show,to preach",,1236900
宝,たから,59,5511,3,supported_exact,1,1,pokemon-scarlet-violet:term:宝(たから) via entry/front exact,treasure,……クラベル先生が言ってた課外授業自分だけの**宝**探し覚えてる？,1516160
本当,ほんとう,59,140,0,supported_exact,1,1,pokemon-scarlet-violet:term:本当(ほんとう) via entry/front exact,"truth,reality,actuality,fact,proper,right,correct,official,genuine,authentic,real,natural,veritable",興味深い答えだが**本当**にあったらオーパーツものだ正解は財宝だよそう！,1523060
中,なか,58,91,1,supported_exact,1,1,pokemon-scarlet-violet:term:中(なか) via entry/front exact,"inside,interior,among,within,middle,center,centre,during,while,middle,midst,amid,interval,gap,mean,average,second (of three, e.g. sons, volumes),middle,medium grade,medium quality,red-light district",この学校有名な博士の息子さんが在学**中**らしいねやっぱり頭いいのかな…。？,1423310
挑戦,ちょうせん,55,2799,0,supported_exact,1,2,duel-masters-dm25:term:挑戦(ちょうせん) via entry/front exact | pokemon-scarlet-violet:term:挑戦(ちょうせん) via entry/front exact,"challenge,defiance,dare,attempt,try",クワッスで**挑戦したら**ボロ負け！,1428240
最後,さいご,54,240,1,supported_exact,1,1,pokemon-scarlet-violet:term:最後(さいご) via entry/front exact,"end,conclusion,last,final,latest,most recent,no sooner than,once,right after (often having negative consequences),one's final moments",すみませんそうでしたねそれでは**最後**の質問ですさんポケモンは好きですか？,1293810
地方,ちほう,54,4630,0,supported_exact,1,1,pokemon-scarlet-violet:term:地方(ちほう) via entry/front exact,"district,region,area,locality,the country,countryside,the provinces,rural area,civilian society",パルデア**地方**ではチャンピオンランクに年齢制限や人数制限はございません。,1421450
今回,こんかい,53,449,1,supported_exact,1,1,pokemon-scarlet-violet:term:今回(こんかい) via entry/front exact,"this time,now",強くなってそうだし**今回**は２匹でいかせてもらうね！,1289070
次,つぎ,52,198,2,supported_exact,1,1,pokemon-scarlet-violet:term:次(つぎ) via entry/front exact,"next,following,subsequent,stage,station",気持ち切り替えて**次**の試験や二次試験は四天王とのポケモン勝負…。,1316380
倒す,たおす,51,1194,2,supported_exact,1,1,pokemon-scarlet-violet:term:倒す(たおす) via entry/front exact,"to throw down,to bring down,to blow down,to fell,to knock down,to set (something) down on its side,to turn (something) on its side,to recline (e.g. a seat),to kill,to defeat,to beat,to overthrow,to trip up,to ruin,to leave unpaid,to cheat,to do completely,to do thoroughly,to do to the fullest",,1445770
生物,せいぶつ,50,3813,2,supported_exact,1,1,pokemon-scarlet-violet:term:生物(せいぶつ) via entry/front exact,"living thing,organism,creature,life,biology",**生物**室の水道は何故だかホースがついている！,1379430
謎,なぞ,50,1504,0,supported_exact,1,1,pokemon-scarlet-violet:term:謎(なぞ) via entry/front exact,"riddle,puzzle,enigma,mystery,enigmatic,mysterious",ただ何故ハリテヤマを模した姿になったのかは**謎**につつまれているのだ。,1459690
場所,ばしょ,49,244,0,supported_exact,1,1,pokemon-scarlet-violet:term:場所(ばしょ) via entry/front exact,"place,location,spot,position,area,room,space,sumo tournament",ポケモンをつれ歩いちゃダメな**場所**もありますどなたかわかりますかねえ？,1355850
必要,ひつよう,49,250,0,supported_exact,1,1,pokemon-scarlet-violet:term:必要(ひつよう) via entry/front exact,"necessary,needed,essential,indispensable,necessity,need,requirement",ええとキズぐすりとどくけしとまひなおしを買ってこおりなおしも**必要**かな？,1487660
進化,しんか,47,4762,1,supported_exact,1,2,duel-masters-dm25:term:進化(しんか) via entry/front exact | pokemon-scarlet-violet:term:進化(しんか) via entry/front exact,"evolution,evolution,becoming more advanced,progress,development,improvement",カルボウ育てて**進化させる**その火力をスターモービルに使うスター大作戦まで残りわずか間に合うでござるか？,1366000
言葉,ことば,45,252,3,supported_exact,1,1,pokemon-scarlet-violet:term:言葉(ことば) via entry/front exact,"language,dialect,word,phrase,expression,term,speech,(manner of) speaking,(use of) language,words,remark,statement,comment,learning to speak,language acquisition",彼が表彰台から放った**言葉**にライバルたちもやる気がみなぎる！,1264540
出る,でる,45,81,1,supported_exact,1,2,duel-masters-dm25:term:出る(でる) via entry/front exact | pokemon-scarlet-violet:term:出る(でる) via entry/front exact,"to leave,to exit,to go out,to come out,to get out,to leave (on a journey),to depart,to start out,to set out,to move forward,to come to,to get to,to lead to,to reach,to appear,to come out,to emerge,to surface,to come forth,to turn up,to be found,to be detected,to be discovered,to be exposed,to show,to be exhibited,to be on display,to appear (in print),to be published,to be announced,to be issued,to be listed,to come out,to attend,to participate,to take part,to enter (an event),to play in,to perform,to be stated,to be expressed,to come up,to be brought up,to be raised,to sell,to exceed,to go over,to stick out,to protrude,to break out,to occur,to start,to originate,to be produced,to come from,to be derived from,to be given,to get,to receive,to be offered,to be provided,to be presented,to be submitted,to be handed in,to be turned in,to be paid,to answer (phone, door, etc.),to get,to assume (an attitude),to act,to behave,to pick up (speed, etc.),to gain,to flow (e.g. tears),to run,to bleed,to graduate,to ejaculate,to cum",,1338240
大事,だいじ,44,328,"1,3,0",supported_exact,1,1,pokemon-scarlet-violet:term:大事(だいじ) via entry/front exact,"important,serious,crucial,valuable,precious,serious matter,major incident,matter of grave concern,crisis,great undertaking,great enterprise,great thing,safe,OK",生徒たちがいだいている問題や行動理由そして**大事な**絆…。,1413940
校長,こうちょう,43,11859,0,supported_exact,1,1,pokemon-scarlet-violet:term:校長(こうちょう) via entry/front exact,"principal,head teacher,headmaster,headmistress",今の紳士はねアカデミーの前の**校長**？,1279590
勝つ,かつ,42,530,1,supported_exact,1,1,pokemon-scarlet-violet:term:勝つ(かつ) via entry/front exact,"to win,to gain victory",,1346150
新しい,あたらしい,42,365,4,supported_exact,1,1,pokemon-scarlet-violet:term:新しい(あたらしい) via entry/front exact,"new,novel,fresh,recent,latest,up-to-date,modern",引っ越しのときに買いかえた**新しい**冷蔵庫！,1361490
出す,だす,41,148,2,supported_exact,1,2,duel-masters-dm25:term:出す(だす) via entry/front exact | pokemon-scarlet-violet:term:出す(だす) via entry/front exact,"to take out,to get out,to put out,to reveal,to show,to submit (e.g. thesis),to turn in,to publish,to make public,to send (e.g. letter),to produce (a sound),to start (fire),to serve (food),... out (e.g. to jump out, to carry out),to begin ...,to start to ...,to burst into ...",動かねえなら動くようにすりゃいいパワー不足なら**出せば**いいだろでもどうするの？,1338180
図鑑,ずかん,41,18465,0,supported_exact,1,1,pokemon-scarlet-violet:term:図鑑(ずかん) via entry/front exact,"pictorial book,picture book,illustrated reference book,identification manual,field guide",わたしの質問に**図鑑**の完成を目指すって言ってくれたよね！,1370370
未来,みらい,41,853,1,supported_exact,1,1,pokemon-scarlet-violet:term:未来(みらい) via entry/front exact,"(distant) future,future existence,world beyond the grave,the world to come,future (tense)",ミライドンが**未来**のポケモンどうりで見たことないはずだよ！,1528060
名前,なまえ,41,251,0,supported_exact,1,1,pokemon-scarlet-violet:term:名前(なまえ) via entry/front exact,"name,given name,first name",分厚い本には歴代の生徒の**名前**や在学時期がびっしりと書かれている！,1531710
研究,けんきゅう,40,1931,0,supported_exact,1,1,pokemon-scarlet-violet:term:研究(けんきゅう) via entry/front exact,"research,study,investigation",モニターにはいろいろな**研究**データが表示されている！,1258520
勉強,べんきょう,40,774,0,supported_exact,1,1,pokemon-scarlet-violet:term:勉強(べんきょう) via entry/front exact,"study,diligence,working hard,experience,knowledge,lesson (for the future),discount,price reduction",自分の部屋より教室で**勉強する**ほうがはかどるね夜だとゴーストタイプのポケモン多くない？,1512670
何,なに,39,89,"0,1",supported_exact,1,1,pokemon-scarlet-violet:term:何(なに) via entry/front exact,"what,you-know-what,that thing,whatsit,whachamacallit,what's-his-name,what's-her-name,penis,(one's) thing,dick,(not) at all,(not) in the slightest,what?,huh?,hey!,come on!,oh, no (it's fine),why (it's nothing),oh (certainly not)",……そういえば今ごろペパーは**何**してるんだろ？,1577100
回復,かいふく,39,1959,0,supported_exact,1,1,pokemon-scarlet-violet:term:回復(かいふく) via entry/front exact,"restoration,recovery,rehabilitation,return,improvement,recovery (from an illness),recuperation,convalescence",うちの子どこでもすぐ寝ちゃうのよねポケモンの技『ねむる』で体力**回復してる**のかしら？,1199720
この先,このさき,38,1257,0,supported_exact,1,1,pokemon-scarlet-violet:term:この先(このさき) via entry/front exact,"beyond this point,ahead,from now on,after this,in the future",**この先**は西門だよセルクルタウンに行くなら西門！,1725280
帰る,かえる,38,114,1,supported_exact,1,1,pokemon-scarlet-violet:term:帰る(かえる) via entry/front exact,"to return,to come home,to go home,to go back,to leave (of a guest, customer, etc.),to get home,to get to home plate",ごめんね**帰ってくれない**なら追い返さないといけないんだよあれーもしかしてだけどアンタ？,1221270
気持ち,きもち,38,215,0,supported_exact,1,1,pokemon-scarlet-violet:term:気持ち(きもち) via entry/front exact,"feeling,sensation,mood,state of mind,preparedness,readiness,attitude,thought,sentiment,consideration,solicitude,gratitude,slightly,a bit,a little",シーツとママのエプロンが**気持ち**よさそうになびいている！,1591430
大会,たいかい,38,2953,0,supported_exact,1,1,pokemon-scarlet-violet:term:大会(たいかい) via entry/front exact,"mass meeting,convention,rally,conference,assembly,gathering,tournament,competition,contest,meet,grand event",絶対零度トリックと呼ばれるあの選手がフリッジタウン**大会**でも見事優勝！,1413180
戻る,もどる,38,164,2,supported_exact,1,1,pokemon-scarlet-violet:term:戻る(もどる) via entry/front exact,"to turn back (e.g. half-way),to return,to go back,to recover (e.g. something lost),to be returned,to rebound,to spring back",オレにはボウジロウがあんたに**戻ってきて**ほしいと言ってるように…。,1535880
大作戦,だいさくせん,37,20235,,supported_exact,1,1,pokemon-scarlet-violet:term:大作戦(だいさくせん) via entry/front exact,"large-scale operation,large-scale campaign,major mission",そのくらいにしとこうぜそろそろ時間だもんいよいよだねスター**大作戦**…。,2847770
大丈夫,だいじょうぶ,37,101,3,supported_exact,1,2,pokemon-scarlet-violet:term:大丈夫(だいじょうぶ) via entry/front exact | pokemon-scarlet-violet:term:大丈夫？(だいじょうぶ？) via entry/front exact,"safe,secure,sound,problem-free,without fear,all right,alright,OK,okay,certainly,surely,undoubtedly,no thanks,I'm good,that's alright,great man,fine figure of a man",なら絶対チャンピオンランクになる残りのジムも絶対ぜたい**大丈夫**だから！,1414150
探す,さがす,37,399,0,supported_exact,1,1,pokemon-scarlet-violet:term:探す(さがす) via entry/front exact,"to search for,to look for,to hunt for,to seek,to search (a house, pocket, etc.),to search through,to rummage in (e.g. a drawer),to fish around",この子はあんたを**探して**アジトに来たみたいだぜおまえ…。,1593670
目指す,めざす,37,1004,2,supported_exact,1,1,pokemon-scarlet-violet:term:目指す(めざす) via entry/front exact,"to aim at (for, to do, to become),to try for,to have an eye on,to go toward,to head for",チャンピオン**目指そって**言ったらチャンピオンになってくれたんだー何それヤバ…。,1535440
友達,ともだち,37,511,0,supported_exact,1,1,pokemon-scarlet-violet:term:友達(ともだち) via entry/front exact,"friend,companion",大切な**友達**とみんなで撮った思い出の写真だ！,1540170
見つける,みつける,36,333,0,supported_exact,1,1,pokemon-scarlet-violet:term:見つける(みつける) via entry/front exact,"to find,to discover,to come across,to spot,to catch (someone doing),to be used to seeing,to be familiar with",,1604570
時間,じかん,36,171,0,supported_exact,1,1,pokemon-scarlet-violet:term:時間(じかん) via entry/front exact,"time,hour,period,class,lesson",そのくらいにしとこうぜそろそろ**時間**だもんいよいよだねスター大作戦…。,1315920
絶対,ぜったい,36,232,0,supported_exact,1,1,pokemon-scarlet-violet:term:絶対(ぜったい) via entry/front exact,"absolutely,definitely,unconditionally,absolute,unconditional,unmistakable,absoluteness",なら**絶対**チャンピオンランクになる残りのジムも絶対ぜたい大丈夫だから！,1386840
合格,ごうかく,35,3406,0,supported_exact,1,1,pokemon-scarlet-violet:term:合格(ごうかく) via entry/front exact,"passing (an exam),pass,success,passing grade,meeting (specifications, standards, etc.),passing (inspection),qualification,being found eligible",ポケモンリーグで実施しているテストに**合格すれば**なることができます。,1284600
最近,さいきん,35,396,0,supported_exact,1,1,pokemon-scarlet-violet:term:最近(さいきん) via entry/front exact,"recently,lately,these days,nowadays,right now,nearest,closest",棚には期限の切れた調味料が置かれているコンロには**最近**使われた跡がある！,1293780
食堂,しょくどう,35,4611,0,supported_exact,1,1,pokemon-scarlet-violet:term:食堂(しょくどう) via entry/front exact,"dining room,dining hall,cafeteria,canteen,messroom,restaurant,eatery,snack bar,diner",宝**食堂**で注文間違いすぎてお腹パンパン…。,1358550
転入生,てんにゅうせい,35,30555,,supported_exact,1,1,pokemon-scarlet-violet:term:転入生(てんにゅうせい) via entry/front exact,transfer student,このような大会が開かれるきっかけとなった**転入生**に感謝だ！,1943410
歴史,れきし,35,1976,0,supported_exact,1,1,pokemon-scarlet-violet:term:歴史(れきし) via entry/front exact,history,貴様とポケモンの**歴史**どんなものか試してやろうヤダヤバうっそー！,1558050
最強,さいきょう,34,2452,0,supported_exact,1,1,web-giapponese:term:最強(さいきょう) via entry/front exact,strongest,**最強**の試験官と戦って勝てばチャンピオンになれるんだよ！,1293770
始める,はじめる,34,303,0,supported_exact,1,1,pokemon-scarlet-violet:term:始める(はじめる) via entry/front exact,"to start,to begin,to commence,to initiate,to originate,to start up (a business, society, etc.),to open (e.g. a store),to establish,to start ...,to begin to ...",勉強疲れがいやされるぅーモトトカゲセラピー**始めました**！,1307550
大変,たいへん,34,255,0,supported_exact,1,1,pokemon-scarlet-violet:term:大変(たいへん) via entry/front exact,"very,greatly,terribly,awfully,immense,enormous,great,serious,grave,dreadful,terrible,difficult,hard,challenging,major incident,disaster",**大変**失礼いたしましたこのおかたはどちらさまなのでしょう？,1415000
冒険,ぼうけん,34,4963,0,supported_exact,1,1,pokemon-scarlet-violet:term:冒険(ぼうけん) via entry/front exact,"adventure,venture,venture which is unlikely to succeed,risky attempt,danger,hazard,risk",ささっきの博士なんかヤバかったね**冒険**をワクワクさせる演出だったのかも！？,1519830
古代,こだい,33,8080,1,supported_exact,1,1,pokemon-scarlet-violet:term:古代(こだい) via entry/front exact,"ancient times,distant past,antiquity",**古代**に生息した翼竜の魂から生まれたゴーストという説もある。,1265760
高い,たかい,33,380,2,supported_exact,1,1,pokemon-scarlet-violet:term:高い(たかい) via entry/front exact,"high,tall,expensive,high-priced,high (level),above average (in degree, quality, etc.),loud,high-pitched,shrill",金属質の装甲や**高い**知性から１０億年後のバンギラスと噂されている。,1283190
姿,すがた,33,371,1,supported_exact,1,1,pokemon-scarlet-violet:term:姿(すがた) via entry/front exact,"figure,form,shape,appearance,dress,guise,state,condition,picture,image,form (of a waka),dressed in ...,wearing ...",ただ何故ハリテヤマを模した**姿**になったのかは謎につつまれているのだ。,1307710
質問,しつもん,33,1043,0,supported_exact,1,1,pokemon-scarlet-violet:term:質問(しつもん) via entry/front exact,"question,inquiry,enquiry",すみませんそうでしたねそれでは最後の**質問**ですさんポケモンは好きですか？,1320760
食事,しょくじ,33,949,0,supported_exact,1,1,pokemon-scarlet-violet:term:食事(しょくじ) via entry/front exact,"meal (e.g. lunch, dinner),diet",タイプも変わるんだって果物に擬態しているポケモンもいるらしいのご飯を食べて**食事**パワー！,1358490
選ぶ,えらぶ,33,434,2,supported_exact,1,2,duel-masters-dm25:term:選ぶ(えらぶ) via entry/front exact | pokemon-scarlet-violet:term:選ぶ(えらぶ) via entry/front exact,"to choose,to select,to pick (out)",わたしも１匹**選んで**いいですか？,1588730
効果,こうか,32,1653,1,supported_exact,1,2,duel-masters-dm25:term:効果(こうか) via entry/front exact | pokemon-scarlet-violet:term:効果(こうか) via entry/front exact,"effect,effectiveness,efficacy,result,effects (e.g. sound effects, visual effects, special effects)",相手にとって弱点のタイプ技をくりだせば**効果**はバツグン！,1275130
中,ちゅう,32,339,1,supported_exact,1,1,duel-masters-dm25:grammar:～中(ちゅう) via entry/front exact,"medium (size),average (grade, level, etc.),middle,in,within,out of (e.g. ten people),among,during,while,in (the course of),within (a period),throughout,currently (doing),in the process of,in the middle of,under (e.g. construction, investigation),middle way,moderation,second volume (of three),junior high school,middle school,China",正直すぎてちょっとビックリ指名手配**中**のヤツほど違うって言うからね…。！,1620400
感謝,かんしゃ,31,689,1,supported_exact,1,1,pokemon-scarlet-violet:term:感謝(かんしゃ) via entry/front exact,"thanks,gratitude,appreciation,thankfulness",チャンピオンネモお誘い**感謝**です私でよければぜひ参加させていただきたいのですが…。,1212380
状態,じょうたい,31,672,0,supported_exact,1,2,duel-masters-dm25:term:状態(じょうたい) via entry/front exact | pokemon-scarlet-violet:term:状態(じょうたい) via entry/front exact,"state,condition,situation,appearance,circumstances",とは最高の**状態**で戦いたいしだから勝負はおあずけだよ…。,1356730
食材,しょくざい,31,4482,0,supported_exact,1,1,pokemon-scarlet-violet:term:食材(しょくざい) via entry/front exact,"foodstuff,ingredient",どんな服を着るかで１日が変わるよなキズぐすりに**食材**にモンスターボール！,1983500
組,くみ,31,1993,2,supported_exact,1,1,pokemon-scarlet-violet:term:組(くみ) via entry/front exact,"class (of students),group (of people),party,team,crew,lot,bunch,set,crime family,organized-crime syndicate,set (of items),assortment,deck (of cards),pack,typesetting,composition",マジボスが戻るまでかくとう**組**チーム・カーフをスター団を守らないと…。,1397450
存在,そんざい,31,502,0,supported_exact,1,1,pokemon-scarlet-violet:term:存在(そんざい) via entry/front exact,"existence,being,presence",今まで英雄だと思われていた**存在**に一石を投じる事実が判明したのです！,1406150
問題,もんだい,31,331,0,supported_exact,1,1,pokemon-scarlet-violet:term:問題(もんだい) via entry/front exact,"question (e.g. on a test),problem,problem (e.g. societal, political),question,issue,subject (e.g. of research),case,matter,question (i.e. doubt),public discussion,controversy,trouble,problem,inconvenience,difficulty",最後はサービス**問題**だ貴様たちの点稼ぎポイントさぞかし楽勝だったろう？,1536010
外,そと,30,338,0,supported_exact,1,1,pokemon-scarlet-violet:term:外(そと) via entry/front exact,"outside,exterior,the open (air),other place,somewhere else,outside one's group (family, company, etc.)",学校の**外**で冒険しながら自由に学べて楽しいんだよ！,1203250
